"hour","TWh"
1,"0.000060309979839"
2,"0.000054353746293"
3,"0.000047674789848"
4,"0.000042765258431"
5,"0.000041743477781"
6,"0.000042964630265"
7,"0.000047998769078"
8,"0.000051363168780"
9,"0.000049319607480"
10,"0.000052684007181"
11,"0.000063475007706"
12,"0.000071175744801"
13,"0.000076359412490"
14,"0.000079823498109"
15,"0.000076334491011"
16,"0.000067811345100"
17,"0.000061929875991"
18,"0.000072920248351"
19,"0.000090464969758"
20,"0.000093256175437"
21,"0.000091262457095"
22,"0.000080596063966"
23,"0.000071748938825"
24,"0.000063624536582"
25,"0.000063774065458"
26,"0.000053979924104"
27,"0.000048920863811"
28,"0.000048472277184"
29,"0.000056521914989"
30,"0.000065194589776"
31,"0.000075163181485"
32,"0.000103299531583"
33,"0.000167846162898"
34,"0.000225140643745"
35,"0.000230299389955"
36,"0.000237750912257"
37,"0.000227308812442"
38,"0.000191197588976"
39,"0.000171509620351"
40,"0.000184618318449"
41,"0.000199321991219"
42,"0.000203633407133"
43,"0.000181602819457"
44,"0.000126476507307"
45,"0.000098539529042"
46,"0.000086577218992"
47,"0.000077007370951"
48,"0.000072571347641"
49,"0.000063774065458"
50,"0.000053979924104"
51,"0.000048920863811"
52,"0.000048472277184"
53,"0.000056521914989"
54,"0.000065194589776"
55,"0.000075163181485"
56,"0.000103299531583"
57,"0.000167846162898"
58,"0.000225140643745"
59,"0.000230299389955"
60,"0.000237750912257"
61,"0.000227308812442"
62,"0.000191197588976"
63,"0.000171509620351"
64,"0.000184618318449"
65,"0.000199321991219"
66,"0.000203633407133"
67,"0.000181602819457"
68,"0.000126476507307"
69,"0.000098539529042"
70,"0.000086577218992"
71,"0.000077007370951"
72,"0.000072571347641"
73,"0.000063774065458"
74,"0.000053979924104"
75,"0.000048920863811"
76,"0.000048472277184"
77,"0.000056521914989"
78,"0.000065194589776"
79,"0.000075163181485"
80,"0.000103299531583"
81,"0.000167846162898"
82,"0.000225140643745"
83,"0.000230299389955"
84,"0.000237750912257"
85,"0.000227308812442"
86,"0.000191197588976"
87,"0.000171509620351"
88,"0.000184618318449"
89,"0.000199321991219"
90,"0.000203633407133"
91,"0.000181602819457"
92,"0.000126476507307"
93,"0.000098539529042"
94,"0.000086577218992"
95,"0.000077007370951"
